GPU,9.0,9.0,18.0,38.0,61.0,51.0,48.0,49.0,49.0,48.0,50.0,23.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,3.0,37.0,52.0,52.0,50.0
Memory,4.6630859375,83.7646484375,87.14599609375,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125,87.548828125
